,Frequency (MHz),Clean_EIRP(dBm)
82,87.585,-77.76696880453837
83,87.6775,-77.23578238880498
84,87.77,-69.19887486346589
85,87.8625,-68.15102320359392
86,87.955,-69.53093577323641
87,88.0475,-76.9628265805199
88,88.14,-78.04852116275475
89,88.2325,-72.39884220897211
90,88.325,-70.05178857703255
91,88.4175,-72.29452678576362
92,88.51,-78.58222716060105
93,88.6025,-78.63618962614
94,88.695,-72.62673156910623
95,88.7875,-69.36365466205558
96,88.88,-70.41337398401923
97,88.9725,-80.06466133191638
98,89.065,-78.41243726192687
99,89.1575,-71.63111173221093
100,89.25,-68.29005325910437
101,89.3425,-68.24802383103756
102,89.435,-74.27691613933335
103,89.5275,-74.49695454123537
104,89.62,-68.12233540116462
105,89.7125,-63.434195837370815
106,89.805,-62.41918700934651
107,89.8975,-68.07971543536001
108,89.99,-69.46700326185439
109,90.0825,-66.536499982706
110,90.175,-59.17349853041644
111,90.2675,-59.52028607364148
112,90.36,-62.253432743041174
113,90.4525,-65.1437770317783
114,90.545,-66.06501120329209
115,90.6375,-56.56731533756997
116,90.73,-55.16010119204264
117,90.8225,-57.69387830286333
118,90.915,-62.94671481646769
119,91.0075,-60.98827307900767
120,91.1,-58.042579479334655
121,91.1925,-56.937544769894274
122,91.285,-59.27831885987686
123,91.3775,-64.91912066354213
124,91.47,-65.04296321759097
125,91.5625,-62.456831529318364
126,91.655,-61.762018106458704
127,91.7475,-61.69342974863874
128,91.84,-65.40808740753859
129,91.9325,-68.14462252284032
130,92.025,-63.47485234376855
131,92.1175,-60.286801365288696
132,92.21,-61.454900775958606
133,92.3025,-66.08763002891224
134,92.395,-65.4630291624376
135,92.4875,-63.957509508092514
136,92.58,-61.09988753518523
137,92.6725,-62.42332758367185
138,92.765,-66.76994449277908
139,92.8575,-66.39746060117277
140,92.95,-67.92641707408087
141,93.0425,-61.43475622755673
142,93.135,-61.51738492227
143,93.2275,-66.80463700460191
144,93.32,-68.75349190924827
145,93.4125,-66.43404158252767
146,93.505,-65.11802963019755
147,93.5975,-64.7158359226746
148,93.69,-66.5528956079426
149,93.7825,-66.45365707420989
150,93.875,-66.42049204182888
151,93.9675,-62.95281346005781
152,94.06,-62.07423827715963
153,94.1525,-65.64584040273952
154,94.245,-66.73328004739056
155,94.3375,-66.41476230395341
156,94.43,-63.971112927734936
157,94.5225,-63.64649340243167
158,94.615,-65.22016679787333
159,94.7075,-65.62108534712611
160,94.8,-64.34796317396567
161,94.8925,-63.77712627344476
162,94.985,-62.358444542016
163,95.0775,-63.22386945285832
164,95.17,-67.41541547766003
165,95.2625,-65.6391021887522
166,95.355,-63.45196289522299
