,Frequency (MHz),Clean_EIRP(dBm)
163,95.0775,
164,95.17,
165,95.2625,-96.93972339213495
166,95.355,-93.56879201551644
167,95.4475,-97.5013098483325
168,95.54,-97.7711437503587
169,95.6325,
170,95.725,
171,95.8175,-96.31643870207652
172,95.91,-95.21860817319183
173,96.0025,
174,96.095,-97.63907084503066
175,96.1875,-94.55165026587247
176,96.28,-94.46223868590577
177,96.3725,-95.11145806338236
178,96.465,-95.89423450060872
179,96.5575,-95.90037612863998
180,96.65,-95.15673786179788
181,96.7425,-95.8098794148083
182,96.835,-100.69238208462923
183,96.9275,
184,97.02,
185,97.1125,
186,97.205,-101.9862759910643
187,97.2975,-107.49565980734536
188,97.39,-94.2190689213561
189,97.4825,-100.92655239124144
190,97.575,-96.88188517729687
191,97.6675,-93.4826592907377
192,97.76,-93.61607392716684
193,97.8525,-92.35643618277314
194,97.945,
195,98.0375,
196,98.13,-98.3125158373147
197,98.2225,
198,98.315,
199,98.4075,
200,98.5,
201,98.5925,
202,98.685,
203,98.7775,
204,98.87,
205,98.9625,-95.45268153716806
206,99.055,-110.6487895400133
207,99.1475,-96.15027656292641
208,99.24,-96.30015360529781
209,99.3325,
210,99.425,
211,99.5175,
212,99.61,
213,99.7025,-95.39999994638727
214,99.795,-95.32851934433538
215,99.8875,-102.42463355739594
216,99.98,-96.06757582632821
217,100.0725,-111.42347866985445
218,100.165,
219,100.2575,-99.83521107600913
220,100.35,-99.16536009578812
221,100.4425,
222,100.535,-98.58327812563181
223,100.6275,
224,100.72,-97.51751746358521
225,100.8125,-100.90098485337197
226,100.905,
227,100.9975,-97.10989685767684
228,101.09,-97.7156524306437
229,101.1825,-95.41243103409985
230,101.275,-101.19366493873889
231,101.3675,
232,101.46,
233,101.5525,-105.99893087579389
234,101.645,-90.3548151777218
235,101.7375,-92.97372621209522
236,101.83,-95.7804959988117
237,101.9225,-97.38069618908837
238,102.015,-100.00253287555923
239,102.1075,
240,102.2,-95.62987822407953
241,102.2925,-95.11898456464492
242,102.385,-92.29885745015537
243,102.4775,-91.59080291240981
244,102.57,
245,102.6625,-101.61466411306327
246,102.755,
247,102.8475,-99.09167465672428
248,102.94,-97.04533610056801
249,103.0325,-95.53071910059265
250,103.125,-94.22586675463408
251,103.2175,-95.32660996830684
252,103.31,-93.12234424844556
253,103.4025,-94.89733148535548
254,103.495,-95.84286002318714
255,103.5875,
256,103.68,-105.28114330911893
257,103.7725,-98.72314621375577
258,103.865,-100.10220629943946
259,103.9575,-98.1998143654557
260,104.05,-97.77589202331103
261,104.1425,-94.81399500014678
262,104.235,-96.12940069441011
263,104.3275,
264,104.42,-98.4489865265114
265,104.5125,
266,104.605,
267,104.6975,-91.34073220874632
268,104.79,-95.28735179566056
269,104.8825,-94.97054178440153
270,104.975,
271,105.0675,-95.48158784612825
272,105.16,-97.22690228730231
273,105.2525,-95.31429033813284
274,105.345,
275,105.4375,
276,105.53,
277,105.6225,-92.22602552654442
278,105.715,-93.72381634472988
279,105.8075,-92.86979554814903
280,105.9,-89.70216698940958
281,105.9925,-95.64202525682688
282,106.085,
283,106.1775,-97.61533698010736
284,106.27,
285,106.3625,
286,106.455,-100.50851524783512
287,106.5475,-95.37574449691209
288,106.64,-95.25519172505646
289,106.7325,-96.2288826260194
290,106.825,-92.31537835775775
291,106.9175,-95.50089900473765
292,107.01,-94.9611346166127
293,107.1025,-95.06027920410446
294,107.195,
295,107.2875,
296,107.38,-90.67001754480708
297,107.4725,-89.69974320799246
298,107.565,-93.91280733217496
299,107.6575,-94.41994914011637
300,107.75,-92.53792036265506
301,107.8425,-91.43598473842964
302,107.935,-91.14469755658644
303,108.0275,
304,108.12,
305,108.2125,-96.38532351486889
306,108.305,
307,108.3975,
308,108.49,
309,108.5825,-99.10168752415457
310,108.675,-94.1976545442729
311,108.7675,-89.27796530370318
312,108.86,-91.05100495370195
313,108.9525,
314,109.045,
315,109.1375,-97.11842796972022
316,109.23,-101.88088175397903
317,109.3225,-87.92657791467641
318,109.415,-89.80092987181345
319,109.5075,
320,109.6,-98.42501738883685
321,109.6925,-98.19361101104106
322,109.785,-102.36170009448188
323,109.8775,
324,109.97,
325,110.0625,-89.54191222344278
326,110.155,-108.74756547473393
327,110.2475,-99.35816917113468
328,110.34,-94.8712740889041
329,110.4325,-101.7633658491084
330,110.525,-92.2989842707818
331,110.6175,
332,110.71,
333,110.8025,-91.22517379294416
334,110.895,-94.75345259644003
335,110.9875,-91.49096178154863
336,111.08,-90.1520509370525
337,111.1725,
338,111.265,-102.52274017456503
339,111.3575,-101.4432312149669
340,111.45,-92.39423484186206
341,111.5425,-94.88832437453938
342,111.635,
343,111.7275,
344,111.82,-96.80744272697771
345,111.9125,-92.2839449221396
346,112.005,-92.09592029306366
347,112.0975,
348,112.19,-102.37243188684646
349,112.2825,
350,112.375,-98.22684868454866
351,112.4675,-100.52027216855944
352,112.56,-94.9127991652734
353,112.6525,-87.82710082709649
354,112.745,-92.94118921250494
355,112.8375,-96.5174272900789
356,112.93,
357,113.0225,-91.1779712448098
358,113.115,-89.25343261950971
359,113.2075,-88.29717697629015
360,113.3,-90.34742891590707
361,113.3925,
362,113.485,
363,113.5775,
364,113.67,
365,113.7625,-93.16744017119548
366,113.855,-90.84632648679987
367,113.9475,-96.07245232480992
368,114.04,
369,114.1325,
370,114.225,
371,114.3175,-91.22169478542168
372,114.41,
373,114.5025,-90.22763025947435
374,114.595,-91.95617681134678
375,114.6875,
376,114.78,-94.68635809889307
377,114.8725,-96.9359504063984
378,114.965,-95.71405579310357
379,115.0575,
380,115.15,
381,115.2425,-91.75359258646438
382,115.335,-101.16694045961522
383,115.4275,
384,115.52,-92.09489440903431
385,115.6125,-91.35113103611717
386,115.705,
387,115.7975,-94.62605124109288
388,115.89,
389,115.9825,-95.95497225780295
390,116.075,-101.76547928321722
391,116.1675,-103.45414762805399
392,116.26,
393,116.3525,-90.36173591310052
394,116.445,-95.17918177849829
395,116.5375,-107.15583910402952
396,116.63,-101.17406677302826
397,116.7225,-92.88700642485898
398,116.815,-91.45875758295611
399,116.9075,-105.29472095606133
400,117.0,-93.89433796507353
401,117.0925,-92.5797911711988
402,117.185,-91.87063243260042
403,117.2775,-98.54625676303527
404,117.37,
405,117.4625,-94.81783980971925
406,117.555,-92.92586508054248
407,117.6475,-96.17583579738829
408,117.74,
409,117.8325,-99.08069647672991
410,117.925,-95.50200590061564
411,118.0175,-94.66805553629676
412,118.11,-99.0796019568632
413,118.2025,-94.0680276285911
414,118.295,-100.5608307688827
415,118.3875,-89.01957785323658
416,118.48,-88.00464610137718
417,118.5725,-93.78691703947823
418,118.665,-93.06281694137991
419,118.7575,-88.50629983878392
420,118.85,-91.85276653402866
421,118.9425,-94.32156373484995
422,119.035,-90.98573961285837
423,119.1275,-88.5446309752058
424,119.22,-91.6682724934652
425,119.3125,
426,119.405,-97.46276453112313
427,119.4975,-95.44903624945016
428,119.59,-94.30759007403339
429,119.6825,-97.96195244694333
430,119.775,-100.4533531004399
431,119.8675,
432,119.96,-101.2056393136205
433,120.0525,-95.08275849799055
434,120.145,
435,120.2375,-101.70264995222139
436,120.33,-101.31516024434518
437,120.4225,-91.90751633917574
438,120.515,-93.88943299881271
439,120.6075,-97.04957959210047
440,120.7,-94.92850951951064
441,120.7925,-96.74911221409312
442,120.885,-92.83434357954648
443,120.9775,-97.70917781191068
444,121.07,-96.43090403910588
445,121.1625,-98.79202081052604
446,121.255,-92.65451284925973
447,121.3475,-96.86219153069831
448,121.44,-105.4996200091108
449,121.5325,
450,121.625,
451,121.7175,-94.90140776151168
452,121.81,-102.11567579143664
453,121.9025,-101.13987687650118
454,121.995,-115.99098130483549
455,122.0875,
456,122.18,-105.01172166331095
457,122.2725,-95.70093781630037
458,122.365,
459,122.4575,
460,122.55,-115.53673732478585
461,122.6425,
462,122.735,-102.52269677411304
463,122.8275,-96.06821191344201
464,122.92,-95.45299561451641
465,123.0125,-94.13200916813553
466,123.105,-97.07663314796902
467,123.1975,
468,123.29,-101.80993880397239
469,123.3825,-94.18386751507173
470,123.475,-98.15193861805415
471,123.5675,-99.21076292003129
472,123.66,-96.44485180958937
473,123.7525,
474,123.845,
475,123.9375,-101.13069925542432
476,124.03,
477,124.1225,
478,124.215,
479,124.3075,
480,124.4,-101.01943737029666
481,124.4925,-99.27383510385187
482,124.585,-99.36768016309966
483,124.6775,-99.39939365221738
484,124.77,
485,124.8625,-94.35737979195785
486,124.955,-95.85097568092044
487,125.0475,
488,125.14,
489,125.2325,
490,125.325,
491,125.4175,
492,125.51,-100.49513030914048
493,125.6025,-99.94750284846597
494,125.695,-108.97827501185685
495,125.7875,-106.55409988266774
496,125.88,-112.20244501714105
497,125.9725,
498,126.065,-101.60719196162694
499,126.1575,-98.4429752229316
500,126.25,-98.9605812815345
501,126.3425,-95.19181222306113
502,126.435,-93.43681191520997
503,126.5275,-94.64756501084804
504,126.62,-97.53002394418318
505,126.7125,-100.67361794304686
506,126.805,
507,126.8975,-112.79229399750788
508,126.99,-104.77097107269785
509,127.0825,-102.99176784088206
510,127.175,-100.83835884263607
511,127.2675,-105.24096118860591
512,127.36,-122.00015842410977
513,127.4525,
514,127.545,
515,127.6375,-101.45722457121566
516,127.73,-97.93770264597639
517,127.8225,-98.4538022568149
518,127.915,-107.02130499859253
519,128.0075,-99.99355911094646
520,128.1,-99.86392732091856
521,128.1925,-98.63237739814457
522,128.285,-109.20276019546489
523,128.3775,-97.95861738888854
524,128.47,-105.28485858281891
525,128.5625,
526,128.655,
527,128.7475,-98.9158597846962
528,128.84,-99.48685086505816
529,128.9325,
530,129.025,-100.14576267129988
531,129.1175,-101.30866974727462
532,129.21,-105.69429728221523
533,129.3025,
534,129.395,-103.49991278142397
535,129.4875,-105.18607238997842
536,129.58,-96.02770634495043
537,129.6725,-99.58181949311266
538,129.765,-97.79366687170307
539,129.8575,-105.82887489187166
540,129.95,-102.93789333408411
541,130.0425,
542,130.135,
543,130.2275,
544,130.32,-103.38776453920988
545,130.4125,-103.44559025369992
546,130.505,-101.67708136674598
547,130.5975,-101.43532041055724
548,130.69,-107.62770702962587
549,130.7825,-102.41817713734807
550,130.875,-103.36005512254147
551,130.9675,
552,131.06,
553,131.1525,
554,131.245,-99.90873693232379
555,131.3375,-97.0295125059507
556,131.43,-101.28626279495049
557,131.5225,-103.6935587686979
558,131.615,-96.21987410439672
559,131.7075,
560,131.8,
561,131.8925,-104.75640914663371
562,131.985,-102.09127879092513
563,132.0775,-104.3394366162432
564,132.17,-101.22068629954684
565,132.2625,-99.61215908944054
566,132.355,-98.93531120013853
567,132.4475,-97.65238335170176
568,132.54,-101.81364048120018
569,132.6325,
570,132.725,
571,132.8175,
572,132.91,
573,133.0025,
574,133.095,
575,133.1875,-109.0930205684227
576,133.28,
577,133.3725,
578,133.465,
579,133.5575,
580,133.65,
581,133.7425,-104.8111443580544
582,133.835,
583,133.9275,-103.24533076184335
584,134.02,-100.7286919638646
585,134.1125,
586,134.205,-103.53142954153695
587,134.2975,-100.40788340531839
588,134.39,-98.59754950143551
589,134.4825,
590,134.575,
591,134.6675,
592,134.76,-106.0097694536266
593,134.8525,-104.15700147694511
594,134.945,-103.68657687078928
595,135.0375,-105.17734435196184
596,135.13,
597,135.2225,
598,135.315,-100.27982374462682
599,135.4075,-101.70056735073167
600,135.5,-114.10213533074669
601,135.5925,-101.97980099824684
602,135.685,-105.2245915554767
603,135.7775,
604,135.87,-116.15234858894313
605,135.9625,-103.80191799616941
606,136.055,
607,136.1475,-107.7245546749616
608,136.24,-102.84903665647991
609,136.3325,-109.31826991121703
610,136.425,-114.46476503641952
611,136.5175,
612,136.61,
613,136.7025,
614,136.795,-112.47498855354401
615,136.8875,
616,136.98,
617,137.0725,-106.99043577080724
618,137.165,-108.63681671695747
619,137.2575,
620,137.35,-105.80703839431337
621,137.4425,
622,137.535,
623,137.6275,-102.53111585569272
624,137.72,-102.23973257208763
625,137.8125,
626,137.905,
627,137.9975,-110.04091353911717
628,138.09,
629,138.1825,-105.05852213603605
630,138.275,-105.2705958090655
631,138.3675,-101.85725503890436
632,138.46,-100.25364241889525
633,138.5525,-100.02017601058577
634,138.645,-103.78783699867869
635,138.7375,
636,138.83,
637,138.9225,
638,139.015,-105.88683900121181
639,139.1075,-108.36404509849415
640,139.2,-105.16021745315571
641,139.2925,-106.88931398129532
642,139.385,
643,139.4775,
644,139.57,
645,139.6625,-106.88454812518403
646,139.755,-100.86209992600931
647,139.8475,-99.80808626622624
648,139.94,
649,140.0325,-117.66181444450739
650,140.125,-105.01066897308391
651,140.2175,-102.15881157907842
652,140.31,-105.69938107173314
653,140.4025,-100.99476315338592
654,140.495,
655,140.5875,-99.67512802653235
656,140.68,-97.7339628116833
657,140.7725,-101.93763135639742
658,140.865,
659,140.9575,
660,141.05,
661,141.1425,
662,141.235,
663,141.3275,
664,141.42,-101.12493466247102
665,141.5125,-100.25529925507098
666,141.605,
667,141.6975,-105.48635384289983
668,141.79,
669,141.8825,
670,141.975,-105.4096674224421
671,142.0675,-120.12493866450482
672,142.16,-105.04920784235674
673,142.2525,
674,142.345,
675,142.4375,-103.47776278715233
676,142.53,-106.2216058578541
677,142.6225,-109.29683955832432
678,142.715,-109.9339272894926
679,142.8075,-103.81116593887236
680,142.9,
681,142.9925,-106.76492437577397
682,143.085,-97.60264761113652
683,143.1775,-99.81216088428513
684,143.27,-102.1605218964078
685,143.3625,-107.20973494392999
686,143.455,-100.85362559164594
687,143.5475,-106.43055900207459
688,143.64,
689,143.7325,
690,143.825,-103.03009569734198
691,143.9175,
692,144.01,-120.40128214292321
693,144.1025,
694,144.195,-106.55176483419248
695,144.2875,-108.59114785220538
696,144.38,
697,144.4725,-112.84004201976478
698,144.565,
699,144.6575,
700,144.75,-108.54456459770677
701,144.8425,-106.83254175337773
702,144.935,-105.01088678686747
703,145.0275,
704,145.12,
705,145.2125,-99.95437291029569
706,145.305,-98.77108003715912
707,145.3975,-99.69652482523244
708,145.49,-100.64142443144583
709,145.5825,-103.50652927785228
710,145.675,
711,145.7675,-106.044435571251
712,145.86,-102.1198915941157
713,145.9525,-104.54836358239612
714,146.045,
715,146.1375,
716,146.23,
717,146.3225,-103.93651664475001
718,146.415,-106.60532207905185
719,146.5075,-101.59267358928665
720,146.6,-102.38429025220135
721,146.6925,
722,146.785,
723,146.8775,
724,146.97,
725,147.0625,-106.32557277401864
726,147.155,-108.4673855695174
727,147.2475,-103.375310717597
728,147.34,-103.25060549492669
729,147.4325,-106.16444487660281
730,147.525,
731,147.6175,-105.47436588371508
732,147.71,-101.40727303422295
733,147.8025,-103.0538039291358
734,147.895,
735,147.9875,-104.88311433313123
736,148.08,
737,148.1725,
738,148.265,-108.38181662282771
739,148.3575,-102.22243750575787
740,148.45,-106.7952079990439
741,148.5425,
742,148.635,
743,148.7275,-112.72527824384524
744,148.82,
745,148.9125,
746,149.005,
747,149.0975,
748,149.19,-104.10720087613198
749,149.2825,-103.38763074812198
750,149.375,-108.46522695124152
751,149.4675,-106.61195228623006
752,149.56,-101.69716499364553
753,149.6525,-103.08165868540242
754,149.745,-120.80431901489536
755,149.8375,
756,149.93,-104.30510566473711
757,150.0225,-105.03254145971022
758,150.115,
759,150.2075,
760,150.3,
761,150.3925,
762,150.485,
763,150.5775,
764,150.67,-107.55814674934221
765,150.7625,-103.95902992664517
766,150.855,-105.19577844235113
767,150.9475,-107.6420760986597
768,151.04,-107.37574254244768
769,151.1325,
770,151.225,
771,151.3175,
772,151.41,
773,151.5025,-106.47676973944579
774,151.595,-110.9033865262686
775,151.6875,-104.37535086775235
776,151.78,-106.3848939376419
777,151.8725,-109.8593859311562
778,151.965,
779,152.0575,-107.13417032728256
780,152.15,-106.81853291280129
781,152.2425,-104.48525623622844
782,152.335,-102.27475575064142
783,152.4275,-103.6924915645332
784,152.52,
785,152.6125,
786,152.705,
787,152.7975,-107.45805439961408
788,152.89,
789,152.9825,
790,153.075,-102.78270382729798
791,153.1675,-100.71812644600472
792,153.26,-103.849866644363
793,153.3525,-117.94690987713886
794,153.445,
795,153.5375,
796,153.63,
797,153.7225,-106.26432551340967
798,153.815,-103.11985338177065
799,153.9075,
800,154.0,-118.87264027511804
801,154.0925,
802,154.185,
803,154.2775,-110.61357973596924
804,154.37,-107.39802974157811
805,154.4625,
806,154.555,-117.85278138492446
807,154.6475,
808,154.74,
