,Frequency (MHz),Clean_EIRP(dBm)
66,86.1975,-74.50718079489809
67,86.29,-73.13291045993377
68,86.3825,-72.3883901739799
69,86.475,-73.56935885119175
70,86.5675,-77.31326951541725
71,86.66,-74.12646069666069
72,86.7525,-73.9202435829845
73,86.845,-74.08435277469269
74,86.9375,-74.18418097445014
75,87.03,-76.57601146801464
76,87.1225,-73.75257782938684
77,87.215,-73.5523764593263
78,87.3075,-75.70298220082974
79,87.4,-75.12993480401872
80,87.4925,-72.42616961405002
81,87.585,-72.43852090955335
82,87.6775,-74.95980128622072
83,87.77,-76.51745858767357
84,87.8625,-74.67076945895384
85,87.955,-72.69364057431775
86,88.0475,-71.16609690830829
87,88.14,-71.15438323926364
88,88.2325,-74.22921180083793
89,88.325,-77.57974031792146
90,88.4175,-72.04144200970521
91,88.51,-70.25158322276803
92,88.6025,-70.40364909480206
93,88.695,-72.27197293695083
94,88.7875,-72.74633440037634
95,88.88,-73.3954542340862
96,88.9725,-72.24007418937872
97,89.065,-69.76006529042296
98,89.1575,-66.91876420726133
99,89.25,-66.35801820792386
100,89.3425,-67.4921347953866
101,89.435,-72.91826599352443
102,89.5275,-69.08917791895203
103,89.62,-66.13944721560145
104,89.7125,-65.7009123448477
105,89.805,-66.3678828071907
106,89.8975,-67.2736009520199
107,89.99,-67.1990271369424
108,90.0825,-69.62055165226863
109,90.175,-67.20480027017449
110,90.2675,-64.68030898180292
111,90.36,-64.12878109677033
112,90.4525,-64.98400023172113
113,90.545,-68.137898581363
114,90.6375,-68.59472328371132
115,90.73,-67.13730082237987
116,90.8225,-66.6373999353103
117,90.915,-66.9237981341033
118,91.0075,-67.92644452608164
119,91.1,-68.78212746483726
120,91.1925,-70.1488677368486
121,91.285,-69.92194903679867
122,91.3775,-67.04315758647877
123,91.47,-65.5914201609441
124,91.5625,-65.80631051326944
125,91.655,-67.22690231793176
126,91.7475,-67.22355394005515
127,91.84,-68.8465500082187
128,91.9325,-67.7546934706866
129,92.025,-67.72465469086367
130,92.1175,-68.30213932702546
131,92.21,-69.22643456107848
132,92.3025,-70.66744787095749
133,92.395,-72.89336748294625
134,92.4875,-70.09364977507228
135,92.58,-68.95111859378322
136,92.6725,-69.11210757320632
137,92.765,-70.86080142481941
138,92.8575,-70.30421107257686
139,92.95,-70.02503749069244
140,93.0425,-70.91066733825686
141,93.135,-70.39412709211926
142,93.2275,-70.25245515606396
143,93.32,-71.35941665806067
144,93.4125,-72.97158013102097
145,93.505,-71.73178580330776
146,93.5975,-71.97569419306444
147,93.69,-72.53843960780294
148,93.7825,-72.35202933673652
149,93.875,-73.15067724543417
150,93.9675,-75.49011483441232
151,94.06,-75.68377984327552
152,94.1525,-74.89318180511819
153,94.245,-72.64564571597145
154,94.3375,-71.9197776744126
155,94.43,-71.15460591941314
156,94.5225,-71.0418203534582
157,94.615,-71.93369241165287
158,94.7075,-69.30130325716459
159,94.8,-66.34650799044692
160,94.8925,-65.87928019596698
161,94.985,-66.47606763259229
162,95.0775,-69.46672976913268
163,95.17,-75.38469644412368
164,95.2625,-74.07588829264091
165,95.355,-72.8835621200291
166,95.4475,-72.85593862379082
167,95.54,-73.59321449896586
168,95.6325,-74.7630872007738
169,95.725,-77.84400966852851
170,95.8175,-77.19300606322474
171,95.91,-73.8248325348409
172,96.0025,-71.20615140022812
173,96.095,-71.21054519527766
174,96.1875,-73.23695389160505
175,96.28,-72.71296241417524
176,96.3725,-71.9461754100441
177,96.465,-68.85377646874352
178,96.5575,-67.33404323764206
179,96.65,-66.99233893763234
180,96.7425,-67.55727280293715
181,96.835,-69.17148075803017
182,96.9275,-69.88791771194458
183,97.02,-68.21606860091663
184,97.1125,-66.80647068157865
185,97.205,-67.08546396167995
186,97.2975,-69.65181532003979
187,97.39,-68.76748287220444
188,97.4825,-68.68452579402826
189,97.575,-70.53313560308382
190,97.6675,-70.7925503291992
191,97.76,-70.64540086584674
192,97.8525,-71.75379565472754
193,97.945,-74.78941149329245
194,98.0375,-76.16110688600459
195,98.13,-75.87132108111132
196,98.2225,-78.58585686677833
197,98.315,-79.69743594409496
198,98.4075,-79.1835077306476
199,98.5,-78.92029065474361
200,98.5925,-81.86979432350098
201,98.685,-82.2973283645778
202,98.7775,-84.01593886983636
203,98.87,-83.71636740623586
204,98.9625,-86.09269642329359
205,99.055,-86.29941821269088
206,99.1475,-84.96169832251452
207,99.24,-87.86407619947488
208,99.3325,-89.82716720870684
209,99.425,-88.78464856703681
210,99.5175,-87.9689083637405
211,99.61,-92.61796881783368
212,99.7025,-91.57012491454886
213,99.795,-92.99356628186493
214,99.8875,-91.97889848221934
215,99.98,-92.16450890491205
216,100.0725,-91.65650052037833
217,100.165,-92.78367432282397
218,100.2575,-93.9266052557673
219,100.35,-108.17972088119322
220,100.4425,-99.62846527030936
221,100.535,-94.57848725898765
222,100.6275,-96.42413778366128
223,100.72,
224,100.8125,
225,100.905,
226,100.9975,
227,101.09,-97.99105442851543
228,101.1825,
229,101.275,
230,101.3675,-107.84450493488409
231,101.46,
232,101.5525,
233,101.645,
234,101.7375,
235,101.83,-104.41798775045675
236,101.9225,-93.96046376833976
237,102.015,-94.945026086353
238,102.1075,
239,102.2,-95.40756601289294
240,102.2925,
241,102.385,
242,102.4775,-100.89064793506265
243,102.57,-100.55585124897563
244,102.6625,-94.39527025511097
245,102.755,-108.67677341857015
246,102.8475,-92.20612764854405
247,102.94,-90.27607466577763
248,103.0325,-90.54940196118265
249,103.125,-92.44988040557912
250,103.2175,-93.32665016407262
251,103.31,-100.94246419342525
252,103.4025,
253,103.495,-95.14698391693314
254,103.5875,-89.90006549903035
255,103.68,-111.7133401254742
256,103.7725,-92.76081759315005
257,103.865,-89.09677194685777
258,103.9575,-91.07440715795065
259,104.05,-94.8234355959832
260,104.1425,-93.52847887991098
261,104.235,-89.74978417169456
262,104.3275,-87.80565814133729
263,104.42,-84.15006206476974
264,104.5125,-83.85901122252106
265,104.605,-83.1554033819086
266,104.6975,-82.90790400211571
267,104.79,-82.7408199329553
268,104.8825,-82.2639865365487
269,104.975,-83.01246580654193
270,105.0675,-82.54924821483908
271,105.16,-81.32680414421648
272,105.2525,-82.14579348081698
273,105.345,-81.87459040171896
274,105.4375,-81.54211443726794
275,105.53,-81.88416953181779
276,105.6225,-82.27956874832537
277,105.715,-82.31030345081965
278,105.8075,-83.25890425882139
279,105.9,-83.74415278726046
280,105.9925,-84.66243067138338
281,106.085,-85.55954606926981
282,106.1775,-85.11122360570882
283,106.27,-85.51765505076163
284,106.3625,-84.46474951447733
285,106.455,-84.28754246496385
286,106.5475,-84.18606958105343
287,106.64,-83.98555209059118
288,106.7325,-85.93401361060441
289,106.825,-89.85294060405785
290,106.9175,-87.69772314813865
291,107.01,-89.04577892288445
292,107.1025,-90.11175786349563
293,107.195,-89.72847372649001
294,107.2875,-91.5570154937352
295,107.38,-93.88847911024861
296,107.4725,-90.28873050938459
297,107.565,-91.78295698193386
298,107.6575,-97.63780229657058
299,107.75,-91.28463136289439
300,107.8425,-92.9309187585724
301,107.935,-102.41502929448399
302,108.0275,-92.05196162470507
303,108.12,
304,108.2125,-99.7889399385746
305,108.305,-92.83699375812819
306,108.3975,
307,108.49,-95.8006423843529
308,108.5825,-91.79354980749076
309,108.675,-89.96197083539636
310,108.7675,-93.35213590758534
311,108.86,-88.6921564239259
312,108.9525,-89.96217085765089
313,109.045,-95.96756996331376
314,109.1375,-92.93994462303493
315,109.23,
316,109.3225,
317,109.415,
318,109.5075,
319,109.6,-91.49331772567282
320,109.6925,-91.61387123220942
321,109.785,-91.04041310026957
322,109.8775,-91.89740798596551
323,109.97,
324,110.0625,
325,110.155,-92.82783872927824
326,110.2475,-99.98016358807212
327,110.34,
328,110.4325,
329,110.525,
330,110.6175,
331,110.71,-104.5773294618809
332,110.8025,-89.49389354900931
333,110.895,-88.7504178658435
334,110.9875,
335,111.08,
336,111.1725,-97.1620677233088
337,111.265,-89.92424241588608
338,111.3575,
339,111.45,-90.3095641231446
340,111.5425,
341,111.635,
342,111.7275,
343,111.82,
344,111.9125,-94.02951052914727
345,112.005,-92.24277063126166
346,112.0975,-105.77501099067482
347,112.19,-89.1882520870953
348,112.2825,-88.75695622977707
349,112.375,-88.75287314657666
350,112.4675,-93.13999639651648
351,112.56,
352,112.6525,-93.90246506561995
353,112.745,-89.95260424094354
354,112.8375,-94.1864562932298
355,112.93,-95.9630693677447
356,113.0225,
357,113.115,-92.48804714927329
358,113.2075,-91.89781782860769
359,113.3,-90.96771826047043
360,113.3925,-88.17911233783303
361,113.485,-89.42945141070808
362,113.5775,-91.04148704973727
363,113.67,-90.9700755320979
364,113.7625,-89.25959985460446
365,113.855,-89.39135394096456
366,113.9475,-93.34386537925697
367,114.04,-98.60378230279275
368,114.1325,-96.93581723770711
369,114.225,-89.27457275491807
370,114.3175,-88.74476452157299
371,114.41,-93.06027309369831
372,114.5025,-91.30658557525646
373,114.595,
374,114.6875,
375,114.78,-89.73631674682457
376,114.8725,-89.26495432478222
377,114.965,-89.19424053866544
378,115.0575,-89.31762620142386
379,115.15,-84.73821535299437
380,115.2425,-84.81226020028512
381,115.335,-84.87560930022129
382,115.4275,-83.73984950474969
383,115.52,-80.56198152059449
384,115.6125,-78.20223524269369
385,115.705,-78.83521893642651
386,115.7975,-77.63628381021935
387,115.89,-77.55786952939484
388,115.9825,-78.3914037776633
389,116.075,-79.39951114035074
390,116.1675,-80.11359556767339
391,116.26,-81.59969774620238
392,116.3525,-81.27828508826224
393,116.445,-81.68397331908592
394,116.5375,-79.74273146558073
395,116.63,-79.6955840179526
396,116.7225,-82.39099316783086
397,116.815,-83.01368971891053
398,116.9075,-79.57153885149944
399,117.0,-77.66554924753291
400,117.0925,-75.19325868674352
401,117.185,-74.90795553662443
402,117.2775,-75.73780872306813
403,117.37,-75.56359373140596
404,117.4625,-82.10259438186631
405,117.555,-79.9959361255951
406,117.6475,-62.47610038816173
407,117.74,-60.524143802606616
408,117.8325,-68.37853964132736
409,117.925,-81.47737251758977
410,118.0175,-80.02715802056146
411,118.11,-79.05079943295414
412,118.2025,-77.71229988062335
413,118.295,-77.40701386329933
414,118.3875,-77.0021909879232
415,118.48,-77.05126962219352
416,118.5725,-77.46585672306863
417,118.665,-77.08494389110207
418,118.7575,-77.23264329447427
419,118.85,-77.83848218119503
420,118.9425,-79.32460398380667
421,119.035,-81.95386842907396
422,119.1275,-81.66506492249653
423,119.22,-81.90352404332273
424,119.3125,-84.07476655635625
425,119.405,-83.47555539066362
426,119.4975,-83.4368618979519
427,119.59,-88.52392836483914
428,119.6825,-84.41478349399435
429,119.775,-85.19937316849087
430,119.8675,-92.68902027904531
431,119.96,-91.48634124693703
432,120.0525,-94.04269024841989
433,120.145,-84.51442885969136
434,120.2375,-83.1003244887373
435,120.33,-84.13965439144513
436,120.4225,-84.67378118232324
437,120.515,-84.75403120252551
438,120.6075,-85.03199478503541
439,120.7,-84.36146879390722
440,120.7925,-82.97905308735565
441,120.885,-83.18361474455699
442,120.9775,-83.24690618264258
443,121.07,-85.7468560455522
444,121.1625,-87.14824628846986
445,121.255,-88.05205112577352
446,121.3475,-89.8303025448993
447,121.44,-87.09097847337776
448,121.5325,-86.96753204839752
449,121.625,-91.01596245901753
450,121.7175,-95.19441896178817
451,121.81,-93.49509219591879
452,121.9025,-89.1910855599278
453,121.995,-88.5548873418025
454,122.0875,-89.63330027804558
455,122.18,-87.5509977433864
456,122.2725,-87.45489834513201
457,122.365,-87.5558474288131
458,122.4575,-88.57914191652006
459,122.55,-88.37965724735376
460,122.6425,-87.69783474850436
461,122.735,-87.3507606676772
462,122.8275,-82.45988017421888
463,122.92,-81.12305584936605
464,123.0125,-81.23117956705202
465,123.105,-82.60494652551702
466,123.1975,-82.0594080321689
467,123.29,-81.62017530011595
468,123.3825,-81.28810325547076
469,123.475,-80.93084589057648
470,123.5675,-80.80910549314032
471,123.66,-81.50309886584695
472,123.7525,-82.25903395295856
473,123.845,-85.14782729167842
474,123.9375,-88.3828837968018
475,124.03,-88.34673609256978
476,124.1225,-90.53842281017018
477,124.215,-89.96777620819606
478,124.3075,-87.9839625658645
479,124.4,-87.7790709624478
480,124.4925,-90.32372051203592
481,124.585,-95.15427019849619
482,124.6775,-98.84278177221321
483,124.77,-95.27009033819917
484,124.8625,-93.39583146508284
485,124.955,-93.9833659603612
486,125.0475,-95.86844643860472
487,125.14,-95.3471983462083
488,125.2325,-98.74095342300663
489,125.325,-98.54196440847757
490,125.4175,-95.9347326513221
491,125.51,-103.45777649079209
492,125.6025,-102.10789905065057
493,125.695,-107.19735415123543
494,125.7875,-107.17018277632383
495,125.88,-98.23065465676163
496,125.9725,-97.2452889956995
497,126.065,-97.43109117713202
498,126.1575,-101.05814299971392
499,126.25,-104.61615327109782
500,126.3425,-97.82315524063343
501,126.435,-95.14270942326954
502,126.5275,-96.16190653525011
503,126.62,-95.49418492461571
504,126.7125,
505,126.805,
506,126.8975,
507,126.99,-105.60301756581815
508,127.0825,
509,127.175,
510,127.2675,-105.03823910456917
511,127.36,
512,127.4525,-111.96775752044749
513,127.545,-111.33131981093236
514,127.6375,
515,127.73,-107.08679575784805
516,127.8225,-102.08785516621202
517,127.915,
518,128.0075,
519,128.1,-110.16865982266293
520,128.1925,-110.87837273144592
521,128.285,-105.16633501588798
522,128.3775,-98.79507874739828
523,128.47,-99.35851867196676
524,128.5625,-96.14044905601637
525,128.655,-95.84646424976336
526,128.7475,-97.57575773341566
527,128.84,
528,128.9325,
529,129.025,
530,129.1175,-101.64941597307406
531,129.21,-93.92833756466462
532,129.3025,-96.55984620158605
533,129.395,-98.00049779181583
534,129.4875,-98.50186803696586
535,129.58,-99.34456420460351
536,129.6725,-100.99678648032099
537,129.765,-98.62655735187323
538,129.8575,-102.49705556687428
539,129.95,-98.18401721261246
540,130.0425,-100.82552680115434
541,130.135,-104.32648172953486
542,130.2275,-107.69481320613372
543,130.32,
544,130.4125,-104.42842719027509
545,130.505,-107.08590717985084
546,130.5975,-104.39087775142755
547,130.69,-95.9315915721161
548,130.7825,-95.58861778128235
549,130.875,-94.70299407621224
550,130.9675,-95.81572023211835
551,131.06,-97.45952843237156
552,131.1525,-97.46784036218105
553,131.245,-97.40161745885547
554,131.3375,-97.54198853540402
555,131.43,-93.99522703534863
556,131.5225,-93.6764721598463
557,131.615,-93.19580709109674
558,131.7075,-94.68362560250137
559,131.8,-103.63969164828396
560,131.8925,-99.73786784083005
561,131.985,-98.33485047990331
562,132.0775,-95.97495363379119
563,132.17,-97.1054031589786
564,132.2625,-95.12272287007289
565,132.355,-96.33998226137055
566,132.4475,-96.29707602691622
