,Frequency (MHz),Clean_EIRP(dBm)
156,252.28,-70.74713491467809
157,253.253333,-69.16962165689358
158,254.226667,-69.32000682027765
159,255.2,-71.84172576198053
160,256.173333,-75.90660636042918
161,257.146667,-68.67014364691498
162,258.12,-75.17959900420522
163,259.093333,-73.76164799536505
164,260.066667,-70.11146428844859
165,261.04,-68.55506032767819
166,262.013333,-69.89330633611057
167,262.986667,-68.7220257594152
168,263.96,-69.25123858778834
169,264.933333,-68.63271905717784
170,265.906667,-67.9451692142039
171,266.88,-69.17532691541531
172,267.853333,-67.24790794690323
173,268.826667,-68.1992043939515
174,269.8,-64.73758007658151
175,270.773333,-65.9234690791416
176,271.746667,-66.8184811262572
177,272.72,-63.73660446844082
178,273.693333,-63.52771350144639
179,274.666667,-64.23220364376942
180,275.64,-63.73712813534944
181,276.613333,-64.23278995078942
182,277.586667,-63.831439050678924
183,278.56,-65.58954037380147
184,279.533333,-66.97715554612058
185,280.506667,-63.893968304354196
186,281.48,-64.58233554670957
187,282.453333,-66.16258197668644
188,283.426667,-64.71406894232406
189,284.4,-66.90481655186505
190,285.373333,-64.94782657045437
191,286.346667,-66.56050656005195
192,287.32,-68.67882606256983
193,288.293333,-67.97993445755009
194,289.266667,-67.69219452453976
195,290.24,-69.89706472043717
196,291.213333,-72.96941270651519
197,292.186667,-69.32330608646622
198,293.16,-68.63909695046107
199,294.133333,-71.14595245032052
200,295.106667,-72.44028189109696
201,296.08,-72.17323781116463
202,297.053333,-74.6197275604334
203,298.026667,-72.56096794333888
204,299.0,-72.8048237283434
205,299.973333,-71.17306062023201
206,300.946667,-70.13544204576698
207,301.92,-75.5608011260374
208,302.893333,-76.47179613217727
209,303.866667,-72.64522632186315
210,304.84,-75.40695863427726
211,305.813333,-75.77426473485613
212,306.786667,-78.10779290842893
213,307.76,
214,308.733333,-76.55872790950491
215,309.706667,-90.17952596813343
216,310.68,
217,311.653333,-74.39112671329406
218,312.626667,-77.15189385733267
219,313.6,-75.07812199629052
220,314.573333,-75.41570955663731
221,315.546667,-76.57898906485038
222,316.52,-77.78709248019806
