Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
84.995,-74.64221074707037,-93.32063939697271
85.0875,-75.00305729111639,-92.21957950791327
85.18,-74.39852900475105,-94.01143641441902
85.2725,-72.17382367244221,-92.27419598689534
85.365,-71.72126476895085,-91.08583538662663
85.4575,-72.88617755510604,-92.19129993059433
85.55,-74.12670193636069,-93.66297970735678
85.6425,-72.65309750361143,-94.1665404967755
85.735,-72.33677055315934,-92.68288566546403
85.8275,-73.76232935968588,-91.12432887140463
85.92,-74.59312363426069,-93.485289771956
86.0125,-73.21712607686926,-93.46153373067786
86.105,-73.35005879371057,-92.3537514206637
86.1975,-74.44246715411518,-92.7426685701308
86.29,-73.0784699679866,-92.12428448214676
86.3825,-72.34496863652855,-92.36745246221214
86.475,-73.49431332195688,-91.1563769205897
86.5675,-77.17850993614263,-92.32796214561529
86.66,-74.04702879874274,-91.46457793204353
86.7525,-73.80554314916571,-89.64495965307196
86.845,-73.9594148904269,-89.43263571562221
86.9375,-74.09324665561142,-90.92919941440049
87.03,-76.41924742404349,-90.92277220431693
87.1225,-73.62660487986088,-89.06450923777103
87.215,-73.47679870883407,-91.10843628207625
87.3075,-75.578197418308,-91.0566672669408
87.4,-74.99605856217804,-90.17363271989288
87.4925,-72.36113274440262,-90.63985741481278
87.585,-72.34080877329512,-88.86793127085372
87.6775,-74.7933947475924,-89.04247159085412
87.77,-76.30946878243468,-89.61047128487608
87.8625,-74.57308440045807,-91.10139708356354
87.955,-72.612631908038,-89.94560157356534
88.0475,-71.09173111050579,-88.79297165005657
88.14,-71.07847932631122,-88.69157747084247
88.2325,-74.14997301772902,-91.57799730972121
88.325,-77.3384583030696,-90.01113438949538
88.4175,-71.9703798568901,-89.86732199556198
88.51,-70.21017204051263,-90.43752799754388
88.6025,-70.35745250520179,-90.11227428254554
88.695,-72.17487805096756,-88.72921459881913
88.7875,-72.64817542994373,-89.15570564234608
88.88,-73.25408042737018,-88.19872917004597
88.9725,-72.10397679125916,-87.21119267260681
89.065,-69.6984751346126,-88.21196390414384
89.1575,-66.89197802783028,-89.00409960986153
89.25,-66.33002192354925,-88.25085169649847
89.3425,-67.45110928105083,-87.71890865849224
89.435,-72.82840599467696,-89.71543754985274
89.5275,-69.04888984633858,-89.39509651137764
89.62,-66.1158275280878,-88.7727336560175
89.7125,-65.66179583222804,-86.13558123261866
89.805,-66.3130360144184,-85.32676129518012
89.8975,-67.22348895180896,-86.62694659341052
89.99,-67.141577247357,-85.9552216565367
90.0825,-69.51834496323139,-85.85239800278217
90.175,-67.16098505040745,-87.14446741124729
90.2675,-64.65702493316864,-87.37591989166474
90.36,-64.10807234453205,-87.33472639726642
90.4525,-64.95732620308559,-87.08761337349574
90.545,-68.07910725702078,-86.79318043817312
90.6375,-68.53645987147982,-87.28944296474154
90.73,-67.08533644661935,-86.33207869515451
90.8225,-66.5714915914965,-84.79284321503165
90.915,-66.8835651297757,-87.23568457557649
91.0075,-67.89193156875011,-88.90719798720714
91.1,-68.73086830593431,-88.03660103298509
91.1925,-70.10494679100708,-90.07801502831177
91.285,-69.88042703797794,-90.09623209168888
91.3775,-67.02191249485395,-90.13778773899458
91.47,-65.56833421991882,-88.32423937128601
91.5625,-65.79073571144488,-90.25213860451129
91.655,-67.20890614797813,-91.04394337942344
91.7475,-67.20306048752754,-90.47499499680488
91.84,-68.82286899621432,-91.46854465539401
91.9325,-67.73651658148461,-91.52824936957055
92.025,-67.69992652609778,-90.15820899680091
92.1175,-68.26914820725352,-89.47950587326915
92.21,-69.1925009127868,-90.28099425995477
92.3025,-70.600592049002,-88.76042786443169
92.395,-72.77237747198711,-88.38307998663555
92.4875,-70.05009771434892,-90.05961156932939
92.58,-68.92015330874119,-90.40471904360447
92.6725,-69.08286731582183,-90.81551044326324
92.765,-70.81344803289251,-90.46143539861517
92.8575,-70.27547465132626,-92.08335123824033
92.95,-69.99585783354277,-91.73748075834746
93.0425,-70.86738815829835,-90.90406265781007
93.135,-70.35097631847553,-90.40049108898334
93.2275,-70.20207085224634,-89.58212914082056
93.32,-71.29612828735915,-89.69233800415603
93.4125,-72.88564760201257,-89.96481019966882
93.505,-71.67382454573163,-90.44923805891523
93.5975,-71.9146189123295,-90.46430915891153
93.69,-72.49777663619395,-92.80394423873301
93.7825,-72.29432703760517,-91.08905817774189
93.875,-73.10151395821116,-92.58750638985178
93.9675,-75.3934977625557,-91.96902113902054
94.06,-75.57201918537645,-91.52273329670457
94.1525,-74.8187095956265,-92.51379321379056
94.245,-72.6002714326772,-92.43268415240377
94.3375,-71.88335958143617,-92.66622701307679
94.43,-71.11920663777957,-92.02479288045535
94.5225,-71.00238216203778,-91.44075954240887
94.615,-71.88958362769459,-91.84421161841725
94.7075,-69.26712334810001,-90.32433617768986
94.8,-66.33083880513264,-90.76604998677327
94.8925,-65.8689967489638,-92.1305934286513
94.985,-66.46518173080257,-92.47982253890804
95.0775,-69.44846093897414,-93.21832788233351
95.17,-75.33089949625992,-94.42803694743179
95.2625,-74.02660804242583,-93.50233893842193
95.355,-72.83111288532032,-92.03776266559376
95.4475,-72.8104704125995,-92.63394911132997
95.54,-73.53831240973713,-92.54768893561604
95.6325,-74.69952193045265,-93.07690993094093
95.725,-77.70612382612788,-92.75753068647944
95.8175,-77.05006797387904,-91.94770438745326
95.91,-73.7638845124724,-92.32256981520678
96.0025,-71.1781759299309,-93.10222530737231
96.095,-71.18506007762943,-93.51277309032474
96.1875,-73.18180422326611,-92.17176394006299
96.28,-72.67270874146637,-93.02260803345855
96.3725,-71.91874420015816,-93.92784606783394
96.465,-68.84088489255892,-94.12211200437532
96.5575,-67.32317482269039,-93.34478889739742
96.65,-66.97158148160067,-90.18805792203035
96.7425,-67.5332692380424,-90.12035114722208
96.835,-69.15132957656269,-92.49623924453144
96.9275,-69.8730742621514,-94.54298850775687
97.02,-68.19890925375498,-92.2403216072706
97.1125,-66.79531689355001,-92.70451183983907
97.205,-67.07150081537222,-92.00649074457144
97.2975,-69.62447720270532,-91.64829617243188
97.39,-68.75264749147604,-93.42491921999166
97.4825,-68.66823887022358,-92.93583225401264
97.575,-70.4938939497411,-90.95387014603017
97.6675,-70.76392199235129,-92.58811022477316
97.76,-70.62557760660178,-94.04157797281272
97.8525,-71.72433754949222,-93.42485329656253
97.945,-74.72623960109792,-93.13039151760182
98.0375,-76.06476214930447,-92.65240863367947
98.13,-75.79009924865454,-93.11176215148657
98.2225,-78.47403354336849,-94.42234439541927
98.315,-79.56413406939788,-94.76009506793304
98.4075,-79.0496494011352,-94.22779576343989
98.5,-78.81914283627682,-95.1978964983862
98.5925,-81.5723194886419,-93.36354873668877
98.685,-82.02796544130618,-94.23641575868899
98.7775,-83.36685699229008,-91.9422048926807
98.87,-83.1945673609752,-92.65565744886582
98.9625,-85.61221406815096,-95.41130922195956
99.055,-85.5274635790565,-93.40965046870494
99.1475,-84.26080114399718,-92.52783758198547
99.24,-86.57552958166214,-92.48072672521683
99.3325,-88.05901775710356,-92.81579265944731
99.425,-87.56612099559702,-93.68063820751108
99.5175,-87.0372123972337,-94.17983629860089
99.61,-89.24489457129437,-91.92040116309124
99.7025,-89.15387817957192,-92.85256287195473
99.795,-90.85036426374644,-94.94519763776988
99.8875,-90.2546831034004,-95.10023364050977
99.98,-90.56344989061654,-95.67318347215951
100.0725,-90.20975582866772,-95.68698971538647
100.165,-90.50113226070434,-94.38618780269653
100.2575,-91.77844549742358,-95.86551977720873
100.35,-93.36020490341438,-93.50578138046517
100.4425,-93.00738652626747,-94.07374699990028
100.535,-91.78798845401944,-95.02980974308194
100.6275,-92.76970354315308,-95.21918169256715
100.72,-96.17790891900682,-95.6723852373662
100.8125,-95.51522621587655,-93.88158974126718
100.905,-94.6840649103231,-91.49237637272545
100.9975,-91.95339630627683,-90.90131805920652
101.09,-92.42624468316717,-93.8388499688117
101.1825,-93.34965433510193,-93.05454935463318
101.275,-94.90710900255854,-94.08371422716792
101.3675,-94.29834296660363,-94.49465491728722
101.46,-94.97326591257175,-93.59512260202487
101.5525,-95.80281558907879,-93.47617069161785
101.645,-94.36097837467153,-92.79014707584341
101.7375,-94.5479277032815,-94.13089736880885
101.83,-93.70484905433251,-94.08995800208642
101.9225,-91.57331137685091,-95.3113942625931
102.015,-91.92412570393321,-94.92385104573009
102.1075,-95.38347068550735,-94.0625859809175
102.2,-92.36611435786136,-95.34548447504886
102.2925,-93.41509767349827,-90.57497163590061
102.385,-92.08826251329968,-90.99809832872937
102.4775,-92.50435611458678,-93.18469974251647
102.57,-92.29842962747503,-93.00101294046331
102.6625,-91.13938571895028,-93.9172482677784
102.755,-92.63951683842951,-92.74904442632014
102.8475,-88.31241384450635,-90.58897939626416
102.94,-88.18363799824543,-92.35925140156574
103.0325,-89.3888273435258,-95.6873121457719
103.125,-90.3291532459098,-94.45944804571448
103.2175,-90.71901936297814,-94.17317433123986
103.31,-91.4771062565714,-91.99836174973547
103.4025,-92.45734367817842,-90.65418205708467
103.495,-90.54875645031305,-92.3988159595904
103.5875,-88.48753721535296,-94.05254728615374
103.68,-90.67344505085241,-90.70776206745397
103.7725,-89.38527839905893,-92.05868690735971
103.865,-88.11432372120947,-95.05103789357275
103.9575,-89.20478853916148,-93.76642641757945
104.05,-89.7798657041253,-91.4107479673089
104.1425,-89.93020851516357,-92.42273170852295
104.235,-87.63875065855328,-91.78448735288922
104.3275,-86.74645784847962,-93.39336184017884
104.42,-83.61567315634784,-92.97939691123065
104.5125,-83.45125347742292,-93.92735821375105
104.605,-82.63017462501054,-92.06450079688554
104.6975,-82.46965113369889,-92.64753046719498
104.79,-82.27317964614865,-92.18362581314084
104.8825,-82.00028530235026,-94.29819027061198
104.975,-82.61542157077318,-93.20188549899584
105.0675,-82.07604549403338,-91.93786952967791
105.16,-80.95986071965213,-91.873892702074
105.2525,-81.55483671430885,-90.50925108198463
105.345,-81.37892310686304,-91.05034034319117
105.4375,-81.15311791254683,-91.82455040766402
105.53,-81.5714183858434,-93.15270958457387
105.6225,-81.90702453772576,-92.75803009192498
105.715,-81.83497115282034,-91.67833968309378
105.8075,-82.66867765993818,-91.628104539821
105.9,-83.12448632204922,-91.88689934695157
105.9925,-84.04725613800761,-92.83907284943339
106.085,-84.78424130237013,-92.6492467955342
106.1775,-84.51571862649487,-93.43905847024487
106.27,-84.69505862298962,-92.32584170404431
106.3625,-83.7495540351617,-91.93584096143123
106.455,-83.45008686606288,-91.01031330649256
106.5475,-83.58923656816103,-92.50355083818056
106.64,-83.40153758444555,-92.40387980856664
106.7325,-84.51057709778003,-90.04733552063159
106.825,-86.67917047616444,-89.53193079110585
106.9175,-86.144558688666,-91.36369015839256
107.01,-87.47483069479284,-92.65287787496862
107.1025,-87.62125342432773,-91.22212927881992
107.195,-86.85777063893931,-90.01230402516978
107.2875,-87.63130653962472,-89.88596047028878
107.38,-88.58623318958409,-90.10414700794347
107.4725,-87.8388244978761,-91.49269412678235
107.565,-87.57493149347307,-89.64742600030901
107.6575,-89.61721299404475,-90.36274979824397
107.75,-88.7256910598793,-92.23975966339492
107.8425,-88.63797907090259,-90.65934900498462
107.935,-89.994170268449,-90.25028904286306
108.0275,-88.40764609156604,-90.86480704127307
108.12,-89.10387767162024,-88.39461863841711
108.2125,-87.76272616093001,-88.04401430790267
108.305,-87.59955836210506,-89.14487696562068
108.3975,-89.06181034784827,-88.01906285028967
108.49,-89.80599235660101,-91.06406425601507
108.5825,-88.40761146465599,-91.07219276348411
108.675,-87.14096424326969,-90.34918567881657
108.7675,-88.0605575173946,-89.58294216094929
108.86,-86.42146496410268,-90.32371716136831
108.9525,-86.8868159604975,-89.83302109965766
109.045,-88.78243407462696,-89.70401915763478
109.1375,-88.56391603021191,-90.53677827386426
109.23,-87.94126527900117,-87.8223993122043
109.3225,-89.1406090823976,-88.56929713171401
109.415,-89.3806347781465,-88.0953793460176
109.5075,-89.90184562151443,-88.53744285051833
109.6,-87.66778548668142,-89.99196608970877
109.6925,-87.01130220284924,-88.85905763497814
109.785,-87.04642002962989,-89.25520604037207
109.8775,-87.4615750048094,-89.4004177782469
109.97,-89.35589528764191,-88.14489675248566
110.0625,-90.50884435251947,-87.08536717966791
110.155,-86.03062612774171,-87.04921133281984
110.2475,-86.80285585655116,-87.01700533164882
110.34,-87.52544957448619,-86.39970952321666
110.4325,-89.89009113782089,-88.81172962659042
110.525,-88.73467405878293,-88.42685850702512
110.6175,-88.2458085262592,-88.19285289881779
110.71,-87.43456756218754,-87.51923858269535
110.8025,-85.2673540275035,-87.32856465982772
110.895,-84.93681279405081,-87.26945439561331
110.9875,-87.31327727923491,-87.20124724993804
111.08,-89.94970566568725,-89.43491226969115
111.1725,-87.26578582205525,-87.73503936209431
111.265,-85.29782052083115,-87.13297982258896
111.3575,-87.14014346115874,-87.0031195353775
111.45,-86.77926712070797,-89.32522659336422
111.5425,-88.58961398182976,-86.81002718983757
111.635,-88.82283426591837,-87.62917734453166
111.7275,-89.0286204486871,-87.29255935249569
111.82,-88.48305961720546,-87.10007927052577
111.9125,-87.50128605883687,-88.59384587329
112.005,-87.03158984379573,-88.58817706303401
112.0975,-88.22894130122816,-88.30603633296644
112.19,-85.92810503383696,-88.70215288539946
112.2825,-85.77388894224302,-88.81159341001646
112.375,-85.77050640849853,-88.80892040996338
112.4675,-87.25304999080389,-88.54791846004217
112.56,-88.52406521585459,-87.53654690530772
112.6525,-87.49840226422984,-88.62714066755015
112.745,-86.63079012890121,-89.35043276806137
112.8375,-88.37273053690177,-89.69332532449943
112.93,-88.99154397058214,-89.96519967126574
113.0225,-88.97020334753611,-88.4108008817158
113.115,-88.51808740948672,-90.74287988995547
113.2075,-87.79692956594978,-89.93627282766853
113.3,-86.80396220631528,-88.90375468678403
113.3925,-85.79282616250991,-89.53209160440444
113.485,-86.91977301802399,-90.49601355757477
113.5775,-88.25668085559262,-91.50482691272153
113.67,-88.09263659421553,-91.2399907201921
113.7625,-86.84271131932442,-90.5405338901252
113.855,-87.18716621596174,-91.18810463148908
113.9475,-87.08696312840885,-88.26035637792057
114.04,-87.28810568620577,-87.62135763933077
114.1325,-88.005149131328,-88.59957814744128
114.225,-85.09281591927557,-87.18145422493963
114.3175,-85.65810204280463,-88.59335900081244
114.41,-88.07378869011868,-89.73093895867336
114.5025,-87.34813981613306,-89.58065324386743
114.595,-87.2914365667547,-86.02130259458673
114.6875,-90.06853617824736,-86.55342997707548
114.78,-87.26610983166384,-90.89333761486697
114.8725,-86.53943983343873,-89.8545185687903
114.965,-87.3011392187118,-91.81946502437586
115.0575,-86.67511366356419,-90.08725355614231
