Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
85.92,-90.17051957103996,-89.37991593334465
86.0125,-88.74775218432913,-89.639567369876
86.105,-88.51476986921432,-92.4334176353276
86.1975,-89.3021991717839,-90.38406257510421
86.29,-89.35690914608202,-89.67538296199999
86.3825,-90.1745765229022,-91.12899851997251
86.475,-90.09738758506583,-89.0654967159252
86.5675,-86.82292624737357,-91.42834159161185
86.66,-87.83843138416991,-90.58231260975585
86.7525,-87.64562726025397,-91.74459576611335
86.845,-87.54319401878963,-92.90987034935604
86.9375,-90.01324205460877,-90.87810258927674
87.03,-91.02342814885121,-88.22302836857777
87.1225,-89.87696891631883,-90.95391136016649
87.215,-89.91648265362194,-89.34922191143444
87.3075,-90.50879886664063,-90.04268863714844
87.4,-88.77618957460231,-89.4109780877859
87.4925,-88.82444963195368,-90.49402055480525
87.585,-87.4306251346058,-89.9598228274769
87.6775,-87.34696796791658,-88.10226276772127
87.77,-87.31285995796378,-88.86184830024894
87.8625,-88.00168110443428,-88.26283527923897
87.955,-87.66734661604724,-87.92885174300037
88.0475,-88.50836551932542,-89.36955631522386
88.14,-88.18820256435922,-89.15886754238656
88.2325,-88.46278722123584,-89.85295445756397
88.325,-85.6835565872696,-88.33984473424226
88.4175,-84.93232643076772,-88.84337531992787
88.51,-85.69556785621623,-89.15028739967326
88.6025,-85.13742467137683,-90.18494054051746
88.695,-87.4822942364696,-89.84046379213366
88.7875,-85.77724737974776,-89.79398627134933
88.88,-86.60823588471771,-88.80109171967865
88.9725,-87.8044086882791,-88.58170666191191
89.065,-87.06074285851194,-87.46188879357054
89.1575,-87.83073917138249,-86.81516757714421
89.25,-85.21901000726214,-85.68750060784808
89.3425,-84.63228139720954,-85.32705221019782
89.435,-85.77057317843776,-86.61604742160182
89.5275,-84.89059427299445,-85.53831460990851
89.62,-85.3641187581856,-84.90238780115435
89.7125,-84.92034207865838,-83.75602780863885
89.805,-85.4817701385094,-85.8180967376305
89.8975,-86.28612219623645,-86.01899420551379
89.99,-86.2716325613397,-86.03490007842954
90.0825,-86.30114949520679,-85.87476552303882
90.175,-86.28825022615682,-86.02134348787557
90.2675,-85.73821730542635,-87.25977797437166
90.36,-84.90419350021214,-84.76671944015355
90.4525,-85.22508237998105,-86.23786161582089
90.545,-85.42518027886209,-85.93647178276834
90.6375,-83.85818417203637,-85.7749627364895
90.73,-84.20707167453645,-87.09967268772004
90.8225,-87.8144581447234,-87.06870771747731
90.915,-86.6307204668085,-88.08695063038272
91.0075,-88.077289056288,-87.91849846790909
91.1,-87.05282271936791,-86.80302108362572
91.1925,-86.70297109176218,-88.41699849654734
91.285,-86.49621319103045,-87.11789440440936
91.3775,-85.78093718560268,-84.69235228570034
91.47,-87.755929174438,-84.96402853967237
91.5625,-87.26429228715638,-87.22336058549622
91.655,-87.11753323160069,-88.59735348306553
91.7475,-86.12093868208851,-86.9672979350182
91.84,-85.95852491304184,-89.43230268403794
91.9325,-88.28446926354741,-88.43762172936772
92.025,-86.28877704761463,-87.96471851489979
92.1175,-86.20340096275564,-86.54930245201345
92.21,-87.95589003313358,-87.82849440325077
92.3025,-86.64855424073642,-89.17322007325595
92.395,-88.21243379223804,-88.98941133130054
92.4875,-86.60421420208247,-87.47507907024654
92.58,-86.9003505028202,-88.54892533192177
92.6725,-88.9714679091174,-88.13517945696896
92.765,-88.36821111964288,-88.35198339747491
92.8575,-90.26451241414864,-87.22281777303536
92.95,-89.17253483542547,-88.46266545065984
93.0425,-88.5205380174054,-90.41361968244446
93.135,-86.23367368080304,-91.567528356096
93.2275,-87.36331168947397,-90.47063438234507
93.32,-90.55788067810022,-91.4788248919674
93.4125,-88.93279466394284,-89.97081193689206
93.505,-90.07149841996437,-89.40365174027687
93.5975,-89.16921303148192,-90.22511360521239
93.69,-89.52510826100823,-90.31673423757073
93.7825,-90.20111613878444,-90.08503490099147
93.875,-89.0246471324351,-88.93890799669292
93.9675,-88.68205871430501,-88.66312255707845
94.06,-90.4763055899971,-91.52601109536819
94.1525,-88.68432539598956,-88.51010054247394
94.245,-89.05502424597017,-88.61598310827486
94.3375,-88.66560754525199,-91.74681482064261
94.43,-88.5626704505762,-90.83934281385746
94.5225,-87.28163000008477,-89.54259344002618
94.615,-88.66921967800367,-89.44161958034742
94.7075,-89.96079812336649,-89.19556222248758
94.8,-90.27009527410651,-90.76288549627448
94.8925,-88.67014503127395,-91.21605109816848
94.985,-90.32036812771857,-90.67176278103888
95.0775,-91.64819753545692,-89.68982351201942
95.17,-92.14824995197739,-88.36069807209458
95.2625,-90.85307473774917,-92.08066720601089
95.355,-89.96349452630417,-92.45057796136277
95.4475,-89.91797934055245,-90.7505370187751
95.54,-89.73806746010843,-90.48126966958108
95.6325,-91.06471188498054,-89.87188656759773
95.725,-91.63539980785926,-90.70102023022254
95.8175,-90.213611257228,-91.43593181386862
95.91,-90.61739120339591,-92.46586379861075
96.0025,-91.74299307432743,-89.1323668536243
96.095,-89.7947829513779,-90.57414849092868
96.1875,-89.15054262861258,-90.62775362714774
96.28,-89.05209768324643,-90.52565420180112
96.3725,-89.24231853090815,-90.54338969790034
96.465,-89.63425648972027,-90.80669606491558
96.5575,-90.5550479098959,-92.05506316868497
96.65,-91.45903400529791,-93.87601093400885
96.7425,-91.3112078276269,-93.21508508592768
96.835,-92.08268452988602,-92.72625447617509
96.9275,-91.38262737852997,-90.233831296987
97.02,-89.96858344578644,-89.94832740330597
97.1125,-90.99930649717186,-89.72298508603905
97.205,-90.57074485646336,-90.89613090382664
97.2975,-90.78794083019153,-90.88162979503528
97.39,-90.69180378885343,-93.24018177957609
97.4825,-91.44542762020698,-91.96467658260933
97.575,-90.88884690281881,-92.1474604892446
97.6675,-90.34777562313266,-93.23696629696079
97.76,-90.52385071391495,-93.4537442075673
97.8525,-89.63569193753641,-92.95624094876688
97.945,-92.70941397836921,-87.49893424204109
98.0375,-90.53102665740442,-88.23543339568567
98.13,-90.44048706305375,-91.21442047369828
98.2225,-91.62907046826973,-89.93878573926582
98.315,-91.32200278302378,-90.54549063702768
98.4075,-92.24017625846622,-90.40325456657169
98.5,-90.86222682412938,-88.6381362479575
98.5925,-90.75166727205504,-90.45498300691833
98.685,-92.78162633668617,-91.23670446168617
98.7775,-92.78314124133615,-92.67422400500803
98.87,-92.55874565460529,-91.15907982208576
98.9625,-90.15490011486118,-91.67468313488071
99.055,-92.19379440277262,-92.25622573822184
