Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
142.293333,-62.12302513352503,-72.15302513352503
143.266667,-62.424443864532705,-72.7944438645327
144.24,-62.46688836640517,-73.27688836640517
145.213333,-63.86125337183077,-72.39125337183077
146.186667,-65.14688576507957,-72.70688576507958
147.16,-65.39851468834183,-72.59851468834184
148.133333,-65.33764725577332,-73.0076472557733
149.106667,-65.66339757599224,-71.60339757599223
150.08,-65.72555632562026,-71.37555632562027
151.053333,-65.44973206603495,-71.43973206603495
152.026667,-64.8291580844935,-71.80915808449349
153.0,-63.87223454395469,-71.68223454395469
153.973333,-63.98067355199211,-70.71067355199212
154.946667,-63.96178622141717,-70.06178622141717
155.92,-63.88002942642754,-70.19002942642753
156.893333,-64.05345249959353,-68.66345249959353
157.866667,-63.447431040842844,-68.78743104084283
158.84,-63.8280017886765,-68.5180017886765
159.813333,-63.63982626309287,-67.7398262630929
160.786667,-63.03433575356813,-68.46433575356814
161.76,-63.21997499776644,-68.57997499776644
162.733333,-62.834913145217655,-68.46491314521766
163.706667,-62.657035762261586,-68.14703576226158
164.68,-63.36363672362377,-68.52363672362377
165.653333,-63.64795499583005,-68.96795499583004
166.626667,-63.94025021042097,-68.68025021042097
167.6,-63.924146510759115,-68.30414651075911
168.573333,-63.61589273379015,-68.25589273379015
169.546667,-63.265009234291355,-67.99500923429136
170.52,-63.49667006123261,-68.14667006123261
171.493333,-63.089706286335556,-67.58970628633556
172.466667,-64.1239997977297,-67.1039997977297
173.44,-64.06884459103392,-67.95884459103392
174.413333,-63.8616011350627,-68.9416011350627
175.386667,-64.45449947980033,-69.25449947980033
176.36,-65.41170047458844,-69.90170047458844
177.333333,-65.74685565488194,-69.45685565488195
178.306667,-65.13399724934352,-69.08399724934353
179.28,-64.23036244584164,-68.74036244584163
180.253333,-65.69753167291064,-67.09753167291065
181.226667,-65.19795489414895,-68.56795489414894
182.2,-65.9476315707623,-68.8776315707623
183.173333,-65.20547852036611,-68.51547852036612
184.146667,-65.48042347730134,-69.95042347730134
185.12,-66.47596774687966,-69.67596774687968
186.093333,-67.43952531250915,-69.62952531250914
187.066667,-67.18309814032426,-70.59309814032426
188.04,-67.1237503093565,-70.1437503093565
189.013333,-67.3023136155206,-68.9523136155206
189.986667,-66.27215810470716,-68.81215810470715
190.96,-67.10507797369428,-68.5450779736943
191.933333,-66.3067788980465,-68.01677889804651
192.906667,-66.02737071813097,-68.10737071813098
193.88,-66.43863544385056,-67.37863544385056
194.853333,-66.25413422092254,-68.97413422092254
195.826667,-66.72863113379535,-67.68863113379534
196.8,-65.95035838438665,-68.70035838438665
197.773333,-65.13540121117131,-67.24540121117131
198.746667,-65.72966644443622,-67.71966644443621
199.72,-65.44489691608261,-67.65489691608262
200.693333,-64.62234208012788,-66.87234208012788
201.666667,-65.03523831537622,-66.50523831537622
202.64,-65.12027579558908,-66.36027579558906
203.613333,-64.96997749923399,-66.55997749923398
204.586667,-65.98294913053205,-66.38294913053205
205.56,-65.69488721406165,-66.59488721406166
206.533333,-65.32169231208604,-66.72169231208605
207.506667,-64.94531467320402,-65.39531467320404
208.48,-65.98490363473033,-67.79490363473032
209.453333,-65.8388463930065,-67.31884639300651
210.426667,-65.67843097778346,-67.27843097778347
211.4,-65.31129545721863,-66.21129545721864
212.373333,-65.32011118006366,-67.01011118006367
213.346667,-64.92212626120447,-66.25212626120447
214.32,-65.65074290863116,-65.87074290863116
215.293333,-65.33983020336721,-66.39983020336722
216.266667,-66.05012564766588,-67.46012564766588
217.24,-66.06124862383831,-67.04124862383833
218.213333,-66.7055548012,-67.8155548012
219.186667,-65.72595495342864,-68.25595495342864
220.16,-66.41691632943862,-66.40691632943862
221.133333,-65.51689402514646,-67.18689402514644
222.106667,-64.48064939191346,-66.38064939191347
223.08,-64.95078369997648,-65.70078369997648
224.053333,-64.44553406989696,-66.44553406989696
225.026667,-65.34221486780433,-66.38221486780432
226.0,-65.15531810653806,-65.73531810653806
226.973333,-64.86242922347779,-67.16242922347779
227.946667,-65.12790046473957,-66.29790046473957
228.92,-64.91570628701008,-67.32570628701008
229.893333,-65.40457102980866,-67.92457102980866
230.866667,-64.68074575218965,-67.30074575218966
231.84,-64.61958941697964,-65.87958941697963
232.813333,-65.36424236047678,-66.16424236047678
233.786667,-65.59635498254049,-66.1063549825405
234.76,-65.4814155376734,-67.3114155376734
235.733333,-65.13978877085478,-66.48978877085477
236.706667,-66.04229740220275,-67.21229740220275
237.68,-65.74511274632647,-68.24511274632647
238.653333,-67.01836376452138,-69.22836376452138
239.626667,-66.77777234495065,-67.53777234495064
240.6,-66.58284621578098,-69.32284621578097
241.573333,-66.56934538806787,-69.41934538806787
242.546667,-66.63911920391067,-68.45911920391066
243.52,-66.57027057650247,-69.06027057650246
244.493333,-66.99150321537502,-68.67150321537503
245.466667,-66.99924124246932,-69.25924124246932
246.44,-66.36220106246373,-69.44220106246372
247.413333,-67.32375249132072,-69.23375249132071
248.386667,-67.93372345350555,-68.75372345350554
249.36,-67.8724733995833,-70.0624733995833
250.333333,-67.56956490427444,-69.63956490427444
251.306667,-67.18994121607314,-71.32994121607314
252.28,-67.54872430456136,-70.37872430456137
253.253333,-66.70153740137606,-70.33153740137605
254.226667,-66.65886262506709,-70.04886262506709
255.2,-67.26215326763115,-69.12215326763115
256.173333,-67.08063097710655,-67.69063097710655
257.146667,-65.63944840102995,-68.62944840102995
258.12,-68.07150847091225,-69.01150847091225
259.093333,-67.55785221740035,-68.74785221740035
260.066667,-67.13066264463868,-70.17066264463867
261.04,-66.50803771844323,-70.75803771844323
262.013333,-66.67301988422493,-69.48301988422493
262.986667,-66.2230803545934,-69.81308035459341
263.96,-66.31920236908151,-69.40920236908151
264.933333,-65.75776508902237,-68.90776508902238
265.906667,-65.07958066344541,-68.23958066344541
266.88,-65.24277095963967,-67.49277095963967
267.853333,-64.50037920039267,-67.79037920039266
268.826667,-64.53222950379445,-66.97222950379445
269.8,-62.845393194048626,-67.36539319404862
270.773333,-63.66492531503445,-67.58492531503444
271.746667,-63.96221636967596,-67.13221636967596
272.72,-62.30665069683077,-67.82665069683078
273.693333,-62.18786471939811,-67.94786471939811
274.666667,-62.16091624874407,-66.37091624874408
275.64,-61.659718153834746,-65.85971815383475
276.613333,-61.8975831205163,-65.7075831205163
277.586667,-61.665865623933215,-65.72586562393322
278.56,-63.121456118283916,-66.75145611828391
279.533333,-63.159832712008054,-65.48983271200804
280.506667,-61.798053367744146,-65.96805336774415
281.48,-62.51104815168422,-66.72104815168423
282.453333,-63.55152906411088,-67.00152906411087
283.426667,-62.44182994799185,-66.34182994799185
284.4,-63.74953246786214,-66.61953246786214
285.373333,-63.05563968792151,-67.57563968792152
286.346667,-63.519693763222136,-66.49969376322213
287.32,-64.80453415584994,-67.09453415584993
288.293333,-64.57671686584428,-67.22671686584427
289.266667,-64.3707908865561,-67.09079088655609
290.24,-65.44547314683341,-67.3754731468334
291.213333,-65.42112994512065,-66.26112994512066
292.186667,-65.30082129247455,-67.49082129247455
293.16,-65.19992593043672,-67.81992593043672
294.133333,-66.45187490962682,-68.25187490962684
295.106667,-67.21378117830072,-68.76378117830073
296.08,-67.42014323608622,-69.19014323608623
297.053333,-67.25413830309493,-68.13413830309493
298.026667,-67.21560273717999,-68.71560273717999
299.0,-67.64747584588787,-69.22747584588787
299.973333,-66.79204989301228,-68.76204989301227
300.946667,-66.42835057648853,-68.83835057648852
301.92,-68.1050360079177,-68.9650360079177
302.893333,-68.63073453105405,-69.41073453105405
303.866667,-67.62159539808415,-69.26159539808415
304.84,-69.32767186647317,-70.55767186647317
305.813333,-69.01996748774435,-70.04996748774435
306.786667,-69.21491562770262,-69.81491562770262
307.76,-69.10731006934937,-69.04731006934938
308.733333,-68.86702785357753,-69.67702785357753
309.706667,-68.5579040370155,-68.5879040370155
310.68,-68.89553619223481,-68.89553619223481
311.653333,-68.28115239338771,-69.50115239338771
312.626667,-68.82210844442316,-69.51210844442316
313.6,-68.2482751599196,-69.2582751599196
314.573333,-68.94791069941441,-70.0579106994144
315.546667,-69.78712479151908,-70.80712479151909
316.52,-69.79025734433716,-70.54025734433716
317.493333,-70.33983408421906,-71.09983408421905
318.466667,-70.86613073303535,-70.07613073303534
319.44,-69.1216401287282,-70.9616401287282
320.413333,-69.78934265092826,-70.38934265092826
321.386667,-68.5494876573622,-69.8794876573622
322.36,-69.06484419005182,-70.33484419005181
323.333333,-69.36617489179302,-70.08617489179304
324.306667,-68.86653302674961,-70.37653302674961
325.28,-70.01971590733025,-71.55971590733026
326.253333,-71.01716778965263,-71.38716778965262
327.226667,-70.59414689197884,-71.16414689197883
328.2,-70.19602472423507,-72.28602472423508
329.173333,-70.53618528540485,-70.57618528540485
330.146667,-70.80248143065198,-71.60248143065198
331.12,-69.51679960919746,-72.33679960919747
332.093333,-69.25926698496194,-71.56926698496194
333.066667,-69.66415756143174,-71.00415756143174
334.04,-68.97668887165571,-70.91668887165571
335.013333,-70.19709885335757,-71.76709885335758
335.986667,-69.98034528317362,-70.74034528317362
336.96,-71.19642160030585,-71.97642160030586
337.933333,-70.0643802965446,-72.0843802965446
338.906667,-71.11317818430406,-71.96317818430406
339.88,-71.83049851457432,-71.54049851457431
340.853333,-71.4912365483865,-71.6412365483865
341.826667,-71.02010449584161,-72.53010449584161
342.8,-70.74121256272122,-70.89121256272122
343.773333,-70.19582066427675,-71.74582066427675
344.746667,-70.97952336603473,-72.37952336603472
345.72,-71.42757779167447,-72.00757779167446
346.693333,-71.20881208775619,-71.96881208775618
347.666667,-71.62822813582609,-72.7482281358261
348.64,-72.88862361825113,-72.83862361825113
349.613333,-72.11881665447295,-72.58881665447295
350.586667,-72.83765064562894,-73.47765064562893
351.56,-72.01827291670668,-72.82827291670668
352.533333,-70.62236686898399,-72.132366868984
353.506667,-71.41146441803775,-72.11146441803776
354.48,-71.7139738092296,-72.2739738092296
355.453333,-69.84086052326731,-72.6908605232673
356.426667,-70.52870529311713,-71.80870529311713
357.4,-71.51621196069104,-72.78621196069105
358.373333,-72.3745480059729,-72.8045480059729
359.346667,-71.74474043290085,-73.18474043290087
360.32,-71.93861420777084,-73.71861420777084
361.293333,-71.17867214769227,-72.74867214769226
362.266667,-71.35278278028868,-73.28278278028867
363.24,-70.96517606361152,-71.87517606361153
364.213333,-71.11121233501285,-71.16121233501285
365.186667,-71.56400543796073,-71.40400543796073
366.16,-70.99490286718594,-71.18490286718594
367.133333,-71.30085987571088,-71.89085987571089
368.106667,-70.67785960865443,-72.41785960865444
369.08,-71.16178912695966,-72.46178912695967
370.053333,-71.48039795266295,-72.21039795266296
371.026667,-70.49651832723403,-71.88651832723403
372.0,-70.2035117142046,-71.6035117142046
372.973333,-70.47201373889428,-71.62201373889427
373.946667,-70.021977823009,-71.711977823009
374.92,-70.01491837899552,-71.14491837899551
375.893333,-68.75892477603144,-70.54892477603144
376.866667,-69.70916445279202,-69.78916445279202
377.84,-69.91192077066377,-70.37192077066376
378.813333,-69.81476241470409,-70.72476241470409
379.786667,-70.0842301129126,-71.6542301129126
380.76,-69.57283765115287,-71.51283765115288
381.733333,-70.75043134568595,-72.38043134568595
382.706667,-71.39081257744193,-71.40081257744194
383.68,-71.10472857206281,-71.81472857206282
384.653333,-71.02498317161941,-72.16498317161941
385.626667,-71.16502126182694,-72.53502126182693
386.6,-71.4284381491836,-71.69843814918362
387.573333,-71.50659547287178,-73.15659547287179
388.546667,-71.34956110483263,-72.81956110483263
389.52,-72.20005034403741,-73.0200503440374
390.493333,-72.71407172264472,-73.99407172264472
391.466667,-73.47308615788256,-74.03308615788255
392.44,-73.76421329917115,-73.39421329917116
393.413333,-73.13740195296691,-74.87740195296692
394.386667,-73.11062972991456,-74.09062972991458
395.36,-73.27244555327346,-74.31244555327345
396.333333,-72.33527537200627,-74.94527537200626
397.306667,-73.22303992418233,-73.64303992418233
398.28,-73.62602031712963,-75.18602031712963
399.253333,-74.15107567782732,-73.2110756778273
400.226667,-73.57690996967791,-73.93690996967791
401.2,-74.3183376345392,-75.0283376345392
402.173333,-72.55115049718682,-73.89115049718684
403.146667,-74.66424081912191,-75.45424081912194
404.12,-75.06897033485936,-75.50897033485936
405.093333,-74.18839317452453,-75.39839317452454
406.066667,-74.40524360726732,-74.83524360726733
407.04,-74.89631549763314,-75.11631549763314
408.013333,-74.22281660033357,-74.30281660033359
408.986667,-74.85873232196444,-74.29873232196444
409.96,-74.06077770470282,-75.3607777047028
410.933333,-75.09780937707123,-74.47780937707122
411.906667,-74.02086693162403,-74.64086693162403
412.88,-75.33478629814988,-76.26478629814989
413.853333,-74.90651733841713,-75.23651733841713
414.826667,-74.97303786280449,-75.72303786280449
415.8,-74.96174218601442,-75.9817421860144
416.773333,-73.99299761368333,-75.81299761368334
417.746667,-74.43564635961728,-74.97564635961729
418.72,-74.6206171019157,-75.2906171019157
419.693333,-74.19139924292445,-75.38139924292445
420.666667,-74.79372649327081,-75.62372649327082
421.64,-75.25636527526477,-75.28636527526477
422.613333,-74.33242309853492,-75.42242309853492
423.586667,-74.73042395513062,-75.21042395513061
424.56,-75.0786678902492,-75.4086678902492
425.533333,-74.8784443536644,-76.13844435366441
426.506667,-74.20003863061689,-74.8800386306169
427.48,-74.6341363945736,-75.67413639457361
428.453333,-73.83083317965118,-75.83083317965117
429.426667,-71.28940740154589,-75.48940740154589
430.4,-71.92807418096105,-75.64807418096103
431.373333,-68.92421145384924,-75.14421145384924
432.346667,-65.84443291684977,-75.04443291684976
433.32,-63.60680252776261,-75.25680252776262
434.293333,-3.0741533430158654,-55.21415334301588
435.266667,-63.277073594693675,-75.11707359469366
436.24,-65.77297270128699,-75.41297270128698
437.213333,-69.16913114238085,-75.30913114238083
438.186667,-71.48953895391107,-76.36953895391107
439.16,-73.33439737603533,-75.01439737603532
440.133333,-73.94437774048386,-74.93437774048387
441.106667,-74.4237215861871,-75.22372158618711
442.08,-75.42836350773564,-75.07836350773563
443.053333,-74.44610605419112,-76.24610605419113
444.026667,-75.11812153939115,-76.52812153939117
445.0,-75.16118417221227,-76.2311841722123
445.973333,-74.0352959449944,-76.17529594499442
446.946667,-74.42678588641584,-75.48678588641584
447.92,-74.65883000444671,-76.29883000444671
448.893333,-75.36881841865303,-77.14881841865304
449.866667,-75.04848964101704,-75.56848964101704
450.84,-75.36047779309669,-76.00047779309669
451.813333,-75.35272776889522,-76.33272776889521
452.786667,-75.71204601678595,-76.73204601678596
453.76,-75.70859383263803,-76.46859383263802
454.733333,-75.58889715484355,-76.55889715484355
455.706667,-75.09626155941386,-77.56626155941386
456.68,-76.13192460882524,-76.74192460882523
457.653333,-75.45979840660146,-76.56979840660148
458.626667,-74.68391449248321,-76.1939144924832
459.6,-76.1130604529476,-76.9130604529476
460.573333,-75.56068714688095,-76.40068714688095
461.546667,-75.46787956583432,-76.93787956583432
462.52,-75.46995664114814,-76.13995664114813
463.493333,-76.17018258170727,-77.20018258170725
464.466667,-75.51705710896998,-77.29705710896998
465.44,-75.98579545103661,-77.59579545103662
466.413333,-75.2966260291796,-76.8966260291796
467.386667,-76.55770972773328,-77.00770972773329
468.36,-75.47822132082052,-76.98822132082051
469.333333,-75.95714157585228,-76.74714157585227
470.306667,-75.796881266648,-77.686881266648
471.28,-75.80403550010155,-77.35403550010156
472.253333,-74.91468859251246,-77.29468859251246
473.226667,-75.97900802669929,-76.24900802669929
474.2,-76.47955105199749,-77.25955105199749
475.173333,-76.19711603212579,-77.5671160321258
476.146667,-75.99833996357303,-76.24833996357303
477.12,-75.82806689833333,-75.96806689833335
478.093333,-76.1018790598815,-76.14187905988149
479.066667,-76.06794899331263,-77.02794899331263
480.04,-75.94060033487555,-77.51060033487555
481.013333,-75.05984518589372,-75.99984518589372
481.986667,-75.14788446125276,-76.39788446125276
482.96,-75.46444829826366,-77.16444829826366
483.933333,-75.19339320968675,-77.46339320968676
484.906667,-74.53792731108342,-76.29792731108341
485.88,-74.97249212866694,-76.47249212866694
486.853333,-74.01282967217031,-76.04282967217031
487.826667,-75.27988878938767,-76.03988878938767
488.8,-75.28935500705163,-75.85935500705163
489.773333,-74.66421664392568,-75.8242166439257
490.746667,-74.71722980206948,-75.80722980206949
491.72,-74.107324949688,-75.177324949688
492.693333,-74.09317121571246,-74.93317121571246
493.666667,-75.17509931058449,-76.03509931058449
494.64,-75.1359400634494,-75.8859400634494
495.613333,-74.3530665420069,-76.0730665420069
496.586667,-74.49174713732556,-76.60174713732556
497.56,-74.51330168832462,-75.6933016883246
498.533333,-75.28805925878089,-74.6180592587809
499.506667,-75.49490497797905,-75.36490497797905
500.48,-74.58399171384417,-76.12399171384418
501.453333,-75.07049591784582,-75.60049591784582
502.426667,-75.50789160255812,-75.80789160255813
503.4,-75.308014244178,-76.498014244178
504.373333,-75.20050137428075,-76.22050137428073
505.346667,-74.67140505874534,-75.97140505874533
506.32,-75.58120545832963,-76.15120545832963
507.293333,-75.3274794831845,-76.3274794831845
508.266667,-75.98452107100685,-77.20452107100685
509.24,-75.14721340851563,-76.38721340851562
510.213333,-74.7005322164886,-76.4505322164886
