Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
98.4075,-79.12436132054374,-99.69397191624687
98.5,-81.49065520774406,-99.52792480002921
98.5925,-81.99090600412404,-101.25318169992482
98.685,-81.04848407101184,-99.81903765987903
98.7775,-79.51962109786058,-98.94065686446214
98.87,-82.42354315888902,-98.43171424043199
98.9625,-81.57741181415572,-99.14847199481979
99.055,-83.91503443670759,-98.58313288641462
99.1475,-82.69291890007976,-98.69555104119304
99.24,-81.00147352946757,-98.09574995769023
99.3325,-80.81765755338662,-94.26097115201944
99.425,-84.61833101822364,-96.14926058365333
99.5175,-86.1048489044474,-99.24363522036536
99.61,-86.28077413930394,-98.62984945668676
99.7025,-84.35226059242221,-100.28662491126987
99.795,-83.93303964807954,-98.31744669153657
99.8875,-86.64885898694001,-98.84705539807283
99.98,-81.1986474420114,-99.19402402892547
100.0725,-82.49928275987577,-98.5071028892703
100.165,-76.84653367832607,-98.75212755039638
100.2575,-76.56099498495998,-100.09291637167873
100.35,-86.867039543547,-98.713230949797
100.4425,-89.69507201717308,-97.82409270809104
100.535,-90.62939721540853,-97.27762109236166
100.6275,-87.24604205475728,-97.66137103424947
100.72,-86.4222266890279,-99.7758414961568
100.8125,-87.7732160107985,-99.94663214849382
100.905,-89.13731263237382,-98.17492554741288
100.9975,-90.31759425150771,-98.02970667826553
101.09,-90.33490437405958,-100.7494856728877
101.1825,-88.90903059768566,-97.67363325881847
101.275,-89.34386696535472,-97.95237984377269
101.3675,-91.37790835011361,-97.02701723683236
101.46,-95.84014187354438,-97.92971859473579
101.5525,-90.96497305322515,-97.82086141992437
101.645,-89.65836197216375,-98.50777298290593
101.7375,-91.08570627440311,-99.90661386717655
101.83,-90.76164676804872,-99.01124241013856
101.9225,-92.7502703671631,-96.45529508640138
102.015,-91.65236900289855,-96.9915642543634
102.1075,-91.97987504830198,-98.84124894966916
102.2,-91.66429179927181,-96.54721111079525
102.2925,-92.67069951703853,-97.23519841840572
102.385,-95.75511016449273,-99.05745544037164
102.4775,-93.68981683245475,-98.92530572405632
102.57,-91.51890216252615,-98.04296527287771
102.6625,-92.16852887443349,-98.82112439445302
102.755,-94.57461005411426,-97.22556525430957
102.8475,-94.69429902188097,-99.91806916348253
102.94,-92.1683886244133,-98.84677912734298
103.0325,-91.28784108094955,-97.23335957460189
103.125,-94.1147672923686,-98.84844038807172
103.2175,-95.41077156775249,-100.20502205603374
103.31,-93.10361117028484,-98.85080355309734
103.4025,-93.02221218639139,-98.70756069713357
103.495,-92.54310812437294,-99.11786093199012
103.5875,-93.80229294174902,-99.7264338719248
103.68,-93.97589121127355,-100.89810190463292
103.7725,-95.52493198568088,-98.84030063802463
103.865,-98.30164915168977,-98.66399198616243
103.9575,-93.0071840667221,-101.73457817072601
104.05,-92.5390739622232,-99.42264940167632
104.1425,-92.54495525176725,-98.69182872588834
104.235,-92.47042272295192,-97.25840184892849
104.3275,-93.204461055953,-97.97159667607019
104.42,-90.48484796073144,-98.77819055106347
104.5125,-91.20265857156456,-98.60167590554893
104.605,-92.28112592067892,-97.48203076687032
104.6975,-92.68867957350423,-97.65091407057454
104.79,-92.38139710572406,-100.7499121203725
104.8825,-89.99585993823686,-97.20360072192827
104.975,-92.00148945776138,-97.03095417944107
105.0675,-91.81467512962966,-96.76187971947341
105.16,-93.78016640452527,-96.60991646556043
105.2525,-91.81282686887401,-97.5202472179951
105.345,-91.56461880294931,-96.8118798503126
105.4375,-90.84084768770822,-97.66170950411447
105.53,-90.6881443825257,-99.16711777119758
105.6225,-91.99140421210882,-97.78740946113226
105.715,-93.89325870721929,-99.01173557489507
105.8075,-94.76037656902896,-100.01122343182193
105.9,-94.54872856169801,-99.3912044528113
105.9925,-95.16574724137878,-100.01069505632019
106.085,-95.21330028385253,-98.94612651676269
106.1775,-97.04761174917783,-99.3252148985919
106.27,-89.4894824186047,-100.3613085904797
106.3625,-90.14561700404718,-96.09883355678156
106.455,-94.62167499036859,-95.4628157374389
106.5475,-92.79660840393608,-96.32133527161186
106.64,-96.47351020129263,-96.69050544055044
106.7325,-92.06981507482105,-97.82272187413746
106.825,-95.7564290914159,-96.65983332725574
106.9175,-97.77730977060838,-98.35377156260057
107.01,-99.2211717120079,-99.28506026181259
107.1025,-96.37698586288009,-99.24653084579025
107.195,-96.85439425203352,-98.18665438386945
107.2875,-97.31757382038616,-97.02204159382366
107.38,-96.73197104010599,-96.7881004956724
107.4725,-98.86369919244302,-97.32102798882974
107.565,-97.9317219004441,-99.8513996348191
107.6575,-95.18869419340612,-99.79700870756628
107.75,-96.62548368607517,-98.38376920853611
107.8425,-95.30491844241611,-99.2168294531583
107.935,-96.83383287405,-100.3099070928
